Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
32;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2867;21/10/2018;21/10/2018 08:45:12;;;0;277800;52782;330582;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
33;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2868;22/10/2018;22/10/2018 12:33:01;;;0;2130000;404700;2534700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
34;33;Del Giro;94141000-6;DERCO S.A.;2869;22/10/2018;22/10/2018 12:35:09;22/10/2018 13:01:05;;0;1642500;312075;1954575;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
35;33;Del Giro;96676670-0;COMERCIAL CHRYSLER SPA;2870;23/10/2018;23/10/2018 15:32:40;;;0;4700000;893000;5593000;0;0;0;0;0;-;0;0;0;0;50;7687;;;0;;0;2;0;0;0;;;;0;;;;;
36;33;Del Giro;96555640-0;COMERCIAL ITALA SPA;2871;23/10/2018;23/10/2018 15:36:24;;;0;4700000;893000;5593000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
37;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2873;24/10/2018;24/10/2018 12:29:55;;;0;242400;46056;288456;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
38;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2872;24/10/2018;24/10/2018 12:29:56;;;0;848400;161196;1009596;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
39;33;Del Giro;71306000-3;FUNDACION PABLO NERUDA;2874;25/10/2018;24/10/2018 16:21:51;;;0;4500000;855000;5355000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
40;33;Del Giro;71306000-3;FUNDACION PABLO NERUDA;2875;25/10/2018;24/10/2018 16:24:29;;;0;2490000;473100;2963100;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
41;33;Del Giro;79766650-5;CONSTRUCTORA DIGUA LTDA;2876;24/10/2018;24/10/2018 16:36:44;;;0;520500;98895;619395;0;0;0;0;0;-;0;0;0;0;52;7701;;;0;;0;2;0;0;0;;;;0;;;;;
42;61;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;240;08/10/2018;08/10/2018 11:47:26;;;0;2689343;510975;3200318;0;0;0;0;0;-;0;0;0;0;33;2843;;;0;;0;0;0;0;0;;;;0;;;;;
43;61;Del Giro;76268728-3;COMERCIALIZADORA DE PRODUCTOS DE ASEO RENHET SPA;241;12/10/2018;12/10/2018 10:32:13;;;0;112650;21404;134054;0;0;0;0;0;-;0;0;0;0;33;2812;;;0;;0;0;0;0;0;;;;0;;;;;
